Brand Preference;Size;Stud Type;Modern or Classic Football Boots;Colourway Preference
Adidas Predator;6,5;Firm Ground;Classic Football Boots;Any
Nike Mercurial;8,5;Soft Ground;Classic Football Boots;Any
Adidas Copa ;9;Firm Ground;Classic Football Boots;Any
Nike Mercurial;6 or 6.5;Soft Ground;Classic Football Boots;Any
Nike Mercurial;9.5 or 10;Firm Ground;Classic Football Boots;Any
Nike Mercurial;5,5;Firm Ground;Modern Football Boots;Any
Adidas Nemeziz;6;Firm Ground;Modern Football Boots;Any
New Balance;6;Firm Ground;Modern Football Boots;Any
Nike Mercurial;6,5;Firm Ground;Modern Football Boots;Any
Nike Mercurial;7;Firm Ground ;Modern Football Boots;Any
Puma Ultra ;7;Firm Ground;Modern Football Boots;Any
Adidas Crazyfast;7;Firm Ground;Modern Football Boots;Any
Puma King;7;Firm Ground;Modern Football Boots;Any
Adidas Speedflow ;7;Firm Ground;Modern Football Boots;Any
Nike ;7;Soft Ground;Modern Football Boots;Any
Nike Phantom;7;Firm Ground;Modern Football Boots;Any
Puma Ultra;7;Firm Ground;Modern Football Boots;Any
Nike Mercurial;7;Firm Ground;Modern Football Boots;Any
Puma;7,5;Firm Ground;Modern Football Boots;Any
Adidas Speedflow ;7,5;Firm Ground;Modern Football Boots;Any
Adidas ;7,5;Firm Ground;Modern Football Boots;Any
Nike Mercurial;7,5;Firm Ground ;Modern Football Boots;Any
Adidas ;8;Firm Ground;Modern Football Boots;Any
Nike Phantom;8;Firm Ground;Modern Football Boots;Any
Adidas X / Predator;8;Firm Ground;Modern Football Boots;Any
Adidas X Speedportal;8;Soft Ground;Modern Football Boots;Any
Nike Mercurial;8,5;Firm Ground;Modern Football Boots;Any
Nike Phantom ;8,5;Firm Ground;Modern Football Boots;Any
Nike Phantom ;9;Firm Ground ;Modern Football Boots;Any
New Balance;9;Soft Ground;Modern Football Boots;Any
Nike;9;Firm Ground;Modern Football Boots;Any
Nike Tiempo;9;Firm Ground;Modern Football Boots;Any
Nike ;9;Firm Ground;Modern Football Boots;Any
Adidas X CrazyFast;9;Firm Ground;Modern Football Boots;Any
Nike Mercurial ;9;Firm Ground ;Modern Football Boots;Any
Adidas;9;Firm Ground ;Modern Football Boots;Any
Nike Mercurial;9;Firm Ground ;Modern Football Boots;Any
Adidas ;9;Firm Ground ;Modern Football Boots;Any
Puma / Adidas;9;Firm Ground;Modern Football Boots;Any
Puma;9,5;Soft Ground;Modern Football Boots;Any
Puma King;9,5;Firm Ground;Modern Football Boots;Any
Puma;10;Firm Ground;Modern Football Boots;Any
Nike Mercurial;10;Soft Ground;Modern Football Boots;Any
Nike Phantom;10,5;Firm Ground;Modern Football Boots;Any
Adidas Predator;10,5;Firm Ground;Modern Football Boots;Any
Nike;6 or 6.5;Firm Ground;Modern Football Boots;Any
Nike Mercurial;7 or 7.5;Firm Ground;Modern Football Boots;Any
Puma Ultra;7 or 7.5;Firm Ground;Modern Football Boots;Any
Nike;7.5 or 8;Soft Ground;Modern Football Boots;Any
Nike Mercurial;7.5 or 8;Firm Ground;Modern Football Boots;Any
Adidas   ;8 or 8.5;Firm Ground;Modern Football Boots;Any
Nike Mercurial;8 or 8.5;Firm Ground ;Modern Football Boots;Any
Nike Mercurial;8.5 or 9;Firm Ground;Modern Football Boots;Any
Adidas Predator;8.5 or 9;Firm Ground ;Modern Football Boots;Any
Adidas or Puma;9 or 9.5;Firm Ground ;Modern Football Boots;Any
Nike Mercurial;9.5 or 10;Soft Ground;Modern Football Boots;Any
Nike Mercurial / Hypervenom;7,5;Firm Ground;Modern or Classic Football Boots;Any
Nike Mercurial / Phantom;7 or 7.5;Firm Ground;Modern or Classic Football Boots;Any
Nike ;8.5 or 9;Firm Ground;Modern or Classic Football Boots;Any
Nike Mercurial;7,5;Firm Ground;Classic Football Boots;Any 
Puma;7 or 7.5;Firm Ground ;Classic Football Boots;Any 
Nike;8.5 or 9;Firm Ground;Classic Football Boots;Any 
Puma;6;Firm Ground;Modern Football Boots;Any 
Puma Ultra;7;Soft Ground;Modern Football Boots;Any 
Nike Mercurial;7;Firm Ground;Modern Football Boots;Any 
Nike Mercurial;7;Firm Ground;Modern Football Boots;Any 
Adidas ;7;Soft Ground;Modern Football Boots;Any 
Nike Mercurial;7,5;Firm Ground;Modern Football Boots;Any 
Nike Mercurial;8;Soft Ground;Modern Football Boots;Any 
Adidas Predator;8;Firm Ground;Modern Football Boots;Any 
Adidas Predator 18+ ;8,5;Firm Ground;Modern Football Boots;Any 
Nike Mercurial ;9;Firm Ground;Modern Football Boots;Any 
Nike Mercurial;9;Firm Ground;Modern Football Boots;Any 
Nike Mercurial;9,5;Soft Ground;Modern Football Boots;Any 
Puma Ultra;11;Firm Ground;Modern Football Boots;Any 
Puma Future;5 or 5.5;Firm Ground;Modern Football Boots;Any 
Nike Mercurial;8.5 or 9;Soft Ground;Modern Football Boots;Any 
Nike Mercurial;8 or 8.5;Firm Ground ;Modern or Classic Football Boots;Any 
Nike Tiempo;9;Firm Ground;Modern Football Boots;Black
Adidas;8,5;Firm Ground;Classic Football Boots;Bright Colours
Nike Mercurial / Phantom;7;Firm Ground;Modern Football Boots;Bright Colours
Nike Mercurial;7;Firm Ground;Modern Football Boots;Bright Colours
Adidas X CrazyFast;8;Firm Ground;Modern Football Boots;Bright Colours
Puma Ultra;8;Firm Ground;Modern Football Boots;Bright Colours
Puma Future;8,5;Firm Ground;Modern Football Boots;Bright Colours
Adidas;8,5;Firm Ground;Modern Football Boots;Bright Colours
Adidas ;8,5;Firm Ground;Modern Football Boots;Bright Colours
Puma;9;Firm Ground;Modern Football Boots;Bright Colours
Nike Mercurial;9;Firm Ground;Modern Football Boots;Bright Colours
Puma Ultra ;9;Soft Ground;Modern Football Boots;Bright Colours
Puma King;10;Soft Ground;Modern Football Boots;Bright Colours
Puma Future;11;Firm Ground;Modern Football Boots;Bright Colours
Nike Mercurial;5 or 5.5;Firm Ground;Modern Football Boots;Bright Colours
Nike Mercurial/New Balance Furon;8.5 or 9;Firm Ground;Modern Football Boots;Bright Colours
Nike Mercurial or Puma Ultra;7,5;Soft Ground;Modern or Classic Football Boots;Bright Colours
Nike Mercurial;10,5;Soft Ground;Modern or Classic Football Boots;Bright Colours
Puma Ultra ;8 or 8.5;Firm Ground;Modern or Classic Football Boots;Bright Colours
Nike Mercurial;8 or 8.5 ;Firm Ground;Modern or Classic Football Boots;Bright Colours
Puma;6;Firm Ground;Classic Football Boots;Bright Colours 
Adidas ;10;Firm Ground;Classic Football Boots;Bright Colours 
Puma Future;7 or 7.5;Firm Ground;Modern  or Classic Football Boots;Bright Colours 
Puma Future;5;Firm Ground;Modern Football Boots;Bright Colours 
Nike Mercurial Vapor;6;Firm Ground ;Modern Football Boots;Bright Colours 
Nike Mercurial;8;Firm Ground;Modern Football Boots;Bright Colours 
Nike Phantom;8;Firm Ground;Modern Football Boots;Bright Colours 
Nike Mercurial;9;Firm Ground;Modern Football Boots;Bright Colours 
Nike Mercurial, Phantom, Tiempo;10,5;Firm Ground;Modern Football Boots;Bright Colours 
Future Future or Ultra;7 or 7.5;Firm Ground;Modern Football Boots;Bright Colours 
Nike or Adidas;8 or 8.5;Firm Ground ;Modern Football Boots;Bright Colours 
Nike Mercurial;8,5;Firm Ground;Modern or Classic Football Boots;Bright Coours
Nike Phantom;6;Soft Ground;Classic Football Boots;Dark Colours
Nike Mercurial;7;Firm Ground;Classic Football Boots;Dark Colours
Adidas;8;Soft Ground;Classic Football Boots;Dark Colours
Nike Tiempo;10;Soft Ground;Classic Football Boots;Dark Colours
Adidas Copa ;7 or 7.5;Soft Ground;Classic Football Boots;Dark Colours
Adidas Predator;8 or 8.5 ;Soft Ground;Classic Football Boots;Dark Colours
Puma Future and Ultra;6;Firm Ground;Modern Football Boots;Dark Colours
Nike Mercurial;6,5;Firm Ground;Modern Football Boots;Dark Colours
Puma Future;8;Soft Ground;Modern Football Boots;Dark Colours
New Balance;8;Firm Ground;Modern Football Boots;Dark Colours
Adidas Copa Pure;8;Soft Ground;Modern Football Boots;Dark Colours
Puma Future;8,5;Firm Ground;Modern Football Boots;Dark Colours
Nike Mercurial ;9;Soft Ground;Modern Football Boots;Dark Colours
Adidas Crazyfast;10;Soft Ground;Modern Football Boots;Dark Colours
Adidas ;10;Firm Ground;Modern Football Boots;Dark Colours
Adidas Predator   ;10,5;Soft Ground;Modern Football Boots;Dark Colours
Nike Tiempo;11;Soft Ground;Modern Football Boots;Dark Colours
Puma Ultra;7.5 or 8;Firm Ground;Modern Football Boots;Dark Colours
Adidas X CrazyFast;8 or 8.5;Soft Ground;Modern Football Boots;Dark Colours
Adidas;8 or 8.5;Firm Ground;Modern Football Boots;Dark Colours
Nike Mercurial;9 or 9.5;Soft Ground;Modern Football Boots;Dark Colours
Nike Mercurial;9 or 9.5;Firm Ground;Modern Football Boots;Dark Colours
Nike;9 or 9.5;Soft Ground;Modern Football Boots;Dark Colours
Puma Future;9.5 or 10;Firm Ground;Modern Football Boots;Dark Colours
Puma;8.5 or 9;Firm Ground;Modern Football Boots;Dark Colours
Adidas Copa ;8.5 or 9;Firm Ground;Modern or Classic Football Boots;Dark Colours
Nike Mercurial;7,5;Soft Ground;Modern Football Boots;Bright Colours 
Puma;9;Firm Ground;Modern Football Boots;Any
